Run,Light_Level,Light_Value,Date,Start.time,Stop.time
9,2,32,20220810,14:11:00,14:22:00
9,3,82,20220810,14:23:00,14:33:00
9,4,124,20220810,14:34:00,14:45:00
9,5,165,20220810,14:46:00,14:59:00
9,6,233,20220810,15:00:00,15:11:00
9,7,289,20220810,15:12:00,15:23:00
9,8,341,20220810,15:24:00,15:34:00
9,9,413,20220810,15:36:00,15:46:00
9,10,517,20220810,15:47:00,15:59:00
10,1,0,20220811,8:02:00,8:13:00
10,2,32,20220811,8:16:00,8:28:00
10,3,82,20220811,8:29:00,8:40:00
10,4,124,20220811,8:41:00,8:53:00
10,5,165,20220811,8:54:00,9:04:00
10,6,233,20220811,9:06:00,9:16:00
10,7,289,20220811,9:17:00,9:32:00
10,8,341,20220811,9:33:00,9:44:00
10,9,413,20220811,9:45:00,9:56:00
10,10,517,20220811,9:57:00,10:08:00
11,1,0,20220811,11:19:00,11:30:00
11,2,32,20220811,11:32:00,11:45:00
11,3,82,20220811,11:46:00,11:56:00
11,4,124,20220811,11:57:00,12:10:00
11,5,165,20220811,12:11:00,12:22:00
11,6,233,20220811,12:23:00,12:33:00
11,7,289,20220811,12:34:00,12:48:00
11,8,341,20220811,12:49:00,13:00:00
11,9,413,20220811,13:01:00,13:11:00
11,10,517,20220811,13:12:00,13:24:00
12,1,0,20220811,14:38:00,14:48:00
12,2,32,20220811,14:50:00,15:00:00
12,3,82,20220811,15:02:00,15:12:00
12,4,124,20220811,15:13:00,15:25:00
12,5,165,20220811,15:26:00,15:36:00
12,6,233,20220811,15:38:00,15:48:00
12,7,289,20220811,15:49:00,15:59:00
12,8,341,20220811,16:01:00,16:11:00
12,9,413,20220811,16:12:00,16:22:00
12,10,517,20220811,16:23:00,16:33:00
13,1,0,20220812,8:14,8:24
13,2,32,20220812,8:27,8:37
13,3,82,20220812,8:41,8:51
13,4,124,20220812,9:02,9:16
13,5,165,20220812,9:17,9:27
13,6,233,20220812,9:29,9:39
13,7,289,20220812,9:41,9:51
13,8,341,20220812,9:52,10:04
13,9,413,20220812,10:05,10:15
13,10,517,20220812,10:16,10:27
14,1,0,20220812,11:27,11:40
14,2,32,20220812,11:41,11:52
14,3,82,20220812,11:53,12:05
14,4,124,20220812,12:07,12:17
14,5,165,20220812,12:18,12:28
14,6,233,20220812,12:34,12:45
14,7,289,20220812,12:46,12:56
14,8,341,20220812,12:57,13:15
14,9,413,20220812,13:16,13:27
14,10,517,20220812,13:28,13:38
15,1,0,20220812,14:51,15:01
15,2,32,20220812,15:03,15:13
15,3,82,20220812,15:14,15:24
15,4,124,20220812,15:25,15:35
15,5,165,20220812,15:36,15:46
15,6,233,20220812,15:47,15:57
15,7,289,20220812,15:59,16:09
15,8,341,20220812,16:10,16:20
15,9,413,20220812,16:21,16:31
15,10,517,20220812,16:32,16:42
16,1,0,20220813,7:53,8:04
16,2,32,20220813,8:07,8:17
16,3,82,20220813,8:18,8:28
16,4,124,20220813,8:32,8:43
16,5,165,20220813,8:44,8:55
16,6,233,20220813,8:57,9:07
16,7,289,20220813,9:08,9:19
16,8,341,20220813,9:20,9:31
16,9,413,20220813,9:32,9:42
16,10,517,20220813,9:44,9:55
17,1,0,20220813,11:23,11:34
17,2,32,20220813,11:36,11:47
17,3,82,20220813,11:48,12:02
17,4,124,20220813,12:12,12:22
17,5,165,20220813,12:25,12:35
17,6,233,20220813,12:37,12:47
17,7,289,20220813,12:50,13:00
17,8,341,20220813,13:03,13:13
17,9,413,20220813,13:14,13:24
17,10,517,20220813,13:25,13:35
18,1,0,20220813,15:41,15:51
18,2,32,20220813,15:56,16:07
18,3,82,20220813,16:09,16:19
18,4,124,20220813,16:20,16:30
18,5,165,20220813,16:32,16:43
18,6,233,20220813,16:44,16:54
18,7,289,20220813,16:56,17:06
18,8,341,20220813,17:07,17:17
18,9,413,20220813,17:18,17:28
18,10,517,20220813,17:29,17:39
19,1,0,20220815,7:59,8:09
19,2,32,20220815,8:13,8:23
19,3,82,20220815,8:24,8:35
19,4,124,20220815,8:37,8:48
19,5,165,20220815,8:49,8:59
19,6,233,20220815,9:05,9:16
19,7,289,20220815,9:19,9:29
19,8,341,20220815,9:30,9:40
19,9,413,20220815,9:42,9:52
19,10,517,20220815,9:53,10:03
20,1,0,20220815,10:58,11:12
20,2,32,20220815,11:14,11:27
20,3,82,20220815,11:27,11:38
20,4,124,20220815,11:39,11:49
20,5,165,20220815,11:50,12:02
20,6,233,20220815,12:03,12:15
20,7,289,20220815,12:18,12:32
20,8,341,20220815,12:33,12:43
20,9,413,20220815,12:44,12:55
20,10,517,20220815,12:56,13:06
21,1,0,20220815,14:01,14:11
21,2,32,20220815,14:13,14:23
21,3,82,20220815,14:24,14:34
21,4,124,20220815,14:38,14:50
21,5,165,20220815,14:51,15:04
21,6,233,20220815,15:05,15:15
21,7,289,20220815,15:16,15:26
21,8,341,20220815,15:28,15:38
21,9,413,20220815,15:39,15:49
21,10,517,20220815,15:50,16:00
