Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20220806,11:13:00,11:26:00
1,2,37,20220806,11:28:00,11:40:00
1,3,97,20220806,11:44:00,11:54:00
1,4,143,20220806,11:57:00,12:11:00
1,5,188,20220806,12:14:00,12:28:00
1,6,230,20220806,12:31:00,12:45:00
1,7,270,20220806,12:48:00,13:00:00
1,8,307,20220806,13:02:00,13:15:00
1,9,336,20220806,13:17:00,13:28:00
1,10,360,20220806,13:30:00,13:41:00
1,11,384,20220806,13:43:00,13:54:00
1,12,505,20220806,13:56:00,14:08:00
1,13,657,20220806,14:10:00,14:27:00
2,1,0,20220808,11:08:00,11:19:00
2,2,32,20220808,11:22:00,11:34:00
2,3,82,20220808,11:36:00,11:46:00
2,4,124,20220808,11:47:00,11:58:00
2,5,165,20220808,12:00:00,12:10:00
2,6,233,20220808,12:11:00,12:23:00
2,7,289,20220808,12:24:00,12:35:00
2,8,341,20220808,12:36:00,12:47:00
2,9,413,20220808,12:48:00,12:59:00
3,1,0,20220808,14:24:00,14:36:00
3,2,32,20220808,14:39:40,14:49:00
3,3,82,20220808,14:50:00,15:02:00
3,4,124,20220808,15:03:00,15:15:00
3,5,165,20220808,15:16:00,15:28:00
3,6,233,20220808,15:29:00,15:41:00
3,7,289,20220808,15:45:00,15:56:00
3,8,341,20220808,15:57:00,16:08:00
3,9,413,20220808,16:10:00,16:19:00
3,10,517,20220808,16:20:00,16:31:00
4,1,0,20220809,9:38:00,9:48:00
4,2,32,20220809,9:49:00,9:59:00
4,3,82,20220809,10:00:00,10:10:00
4,4,124,20220809,10:10:00,10:21:00
4,5,165,20220809,10:30:00,10:41:00
4,6,233,20220809,10:49:00,10:59:00
4,7,289,20220809,11:01:00,11:12:00
4,8,341,20220809,11:13:00,11:25:00
4,9,413,20220809,11:26:00,11:36:00
4,10,517,20220809,11:38:00,11:48:00
5,1,0,20220809,13:09:00,13:19:00
5,2,32,20220809,13:22:00,13:32:00
5,3,82,20220809,13:33:00,13:44:00
5,4,124,20220809,13:44:00,13:55:00
5,5,165,20220809,13:56:00,14:07:00
5,6,233,20220809,14:18:00,14:28:00
5,7,289,20220809,14:30:00,14:41:00
5,8,341,20220809,14:41:00,14:52:00
5,9,413,20220809,14:53:00,15:04:00
5,10,517,20220809,15:05:00,15:16:00
6,1,0,20220809,16:37:00,16:48:00
6,2,32,20220809,16:50:00,17:02:00
6,3,82,20220809,17:04:00,17:15:00
6,4,124,20220809,17:16:00,17:26:00
6,5,165,20220809,17:28:00,17:41:00
6,6,233,20220809,17:47:00,17:57:00
6,7,289,20220809,17:59:00,18:10:00
6,8,341,20220809,18:11:00,18:25:00
6,9,413,20220809,18:27:00,18:34:00
6,10,517,20220809,18:38:00,18:50:00
7,1,0,20220810,8:08:00,8:19:00
7,2,32,20220810,8:20:00,8:31:00
7,3,82,20220810,8:31:00,8:43:00
7,4,124,20220810,8:44:00,8:55:00
7,5,165,20220810,8:56:00,9:07:00
7,6,233,20220810,9:09:00,9:19:00
7,7,289,20220810,9:20:00,9:31:00
7,8,341,20220810,9:32:00,9:42:00
7,9,413,20220810,9:43:00,9:54:00
7,10,517,20220810,9:55:00,10:06:00
8,1,0,20220810,11:06:00,11:18:00
8,2,32,20220810,11:19:00,11:30:00
8,3,82,20220810,11:31:00,11:41:00
8,4,124,20220810,11:42:00,11:53:00
8,5,165,20220810,11:54:00,12:04:00
8,6,233,20220810,12:05:00,12:16:00
8,7,289,20220810,12:17:00,12:28:00
8,8,341,20220810,12:29:00,12:42:00
8,9,413,20220810,12:43:00,12:53:00
8,10,517,20220810,12:55:00,13:06:00
9,1,0,20220810,13:59:00,14:09:00
